"id";"dur";"df";"minf";"maxf";"q25";"q50";"q75"
"220b";0.48;979.9;851.6;1046.9;953.1;992.2;1062.5
"220b";0.528;879.4;742.2;1859.4;882.8;960.9;1601.6
"220b";0.488;977.8;882.8;1078.1;953.1;992.2;1039.1
"220b";0.512;959.2;835.9;1875;937.5;984.4;1414.1
"229c";0.56;950.8;750;1898.4;906.3;1000;1562.5
"229c";0.592;946.7;640.6;1890.6;898.4;992.2;1460.9
"229c";0.536;951.1;726.6;1890.6;906.3;1015.6;1375
"229c";0.712;847.9;546.9;1843.8;890.6;1234.4;1539.1
"229c";0.6;934.5;742.2;1898.4;898.4;1031.3;1601.6
"229c";0.616;950.6;742.2;1890.6;890.6;976.6;1476.6
"229c";0.6;949.4;734.4;1890.6;914.1;1062.5;1421.9
"229c";0.624;901.1;703.1;1882.8;906.3;1062.5;1414.1
"229c";0.576;952.4;765.6;1867.2;921.9;1007.8;1343.8
"229c";0.624;948.9;750;1843.8;906.3;1000;1453.1
"236a";0.664;1121.5;898.4;1257.8;1054.7;1117.2;1164.1
"236a";0.624;1112;882.8;1250;1046.9;1109.4;1164.1
"236a";0.784;1118.9;804.7;1843.8;992.2;1109.4;1164.1
"236a";0.592;1117.9;953.1;1226.6;1070.3;1117.2;1156.3
"236a";0.72;1116.5;898.4;1234.4;1054.7;1125;1171.9
"236a";0.608;1125.3;1031.3;1250;1101.6;1140.6;1179.7
"236a";0.568;1148.8;882.8;1242.2;1101.6;1148.4;1187.5
"236a";0.688;1110.3;882.8;1257.8;1054.7;1117.2;1179.7
"236a";0.696;1094.5;906.3;1234.4;1054.7;1101.6;1156.3
"236a";0.6;1147;914.1;1265.6;1078.1;1140.6;1179.7
"239a";0.616;920.3;742.2;1867.2;875;953.1;1562.5
"239a";0.592;913.9;796.9;1882.8;906.3;960.9;1695.3
"239a";0.688;916.9;718.8;1875;882.8;976.6;1632.8
"239a";0.672;909.4;734.4;1867.2;882.8;1000;1664.1
"239a";0.6;916;750;1882.8;890.6;976.6;1656.3
"239a";0.576;888.2;734.4;1843.8;875;953.1;1609.4
"239a";0.664;874.9;734.4;1851.6;875;945.3;1640.6
"239a";0.6;925;765.6;1867.2;882.8;953.1;1546.9
"239a";0.584;895.4;781.3;1851.6;890.6;937.5;1640.6
"239a";0.624;898.4;765.6;1843.8;890.6;953.1;1664.1
"243a";0.464;985;843.8;1835.9;945.3;1007.8;1546.9
"243a";0.456;982.6;812.5;1929.7;953.1;1023.4;1718.8
"243a";0.464;1000.7;843.8;1914.1;960.9;1023.4;1585.9
"243a";0.464;983.1;835.9;1796.9;945.3;1000;1515.6
"243a";0.44;992.7;796.9;1914.1;945.3;1000;1570.3
"243a";0.432;1021.3;843.8;1835.9;968.8;1031.3;1476.6
"243a";0.464;998.8;835.9;1921.9;960.9;1015.6;1648.4
"243a";0.448;1000.3;750;1828.1;945.3;1000;1375
"243a";0.456;1017.5;851.6;1835.9;960.9;1023.4;1484.4
"243a";0.44;993.2;804.7;1859.4;937.5;992.2;1445.3
"breb";0.584;986.4;796.9;1859.4;937.5;1000;1210.9
"breb";0.624;1033.4;867.2;1890.6;968.8;1031.3;1140.6
"breb";0.608;1042.7;796.9;1882.8;953.1;1031.3;1140.6
"breb";0.608;1007.5;859.4;1101.6;968.8;1023.4;1078.1
"breb";0.616;1029.4;789.1;1890.6;960.9;1031.3;1179.7
"breb";0.584;1004.4;742.2;1859.4;906.3;992.2;1062.5
"breb";0.576;1020.1;851.6;1140.6;945.3;1007.8;1062.5
"breb";0.632;993.1;757.8;1914.1;937.5;1015.6;1601.6
"breb";0.568;985.9;765.6;1851.6;921.9;992.2;1070.3
"breb";0.576;1003.7;804.7;1859.4;945.3;1007.8;1164.1
"buda";0.64;1025.9;882.8;1640.6;992.2;1046.9;1507.8
"buda";0.632;1016.8;906.3;1703.1;1007.8;1109.4;1523.4
"buda";0.632;1019.7;859.4;1890.6;976.6;1046.9;1593.8
"buda";0.64;1026.4;906.3;1914.1;1000;1054.7;1539.1
"buda";0.608;1027.8;890.6;1609.4;1007.8;1046.9;1453.1
"buda";0.64;1031.5;851.6;1929.7;992.2;1062.5;1562.5
"buda";0.664;1026.8;890.6;1648.4;1000;1054.7;1492.2
"buda";0.624;1038.1;921.9;1609.4;1015.6;1070.3;1468.8
"buda";0.712;1027.7;539.1;1539.1;968.8;1039.1;1468.8
"buda";0.648;1034.8;914.1;1578.1;1015.6;1062.5;1507.8
"cerb";0.408;1020.6;875;1070.3;976.6;1015.6;1054.7
"cerb";0.416;1080.2;921.9;1132.8;1007.8;1062.5;1093.8
"cerb";0.408;1052.4;898.4;1109.4;992.2;1039.1;1078.1
"cerb";0.392;1071.7;914.1;1125;1000;1054.7;1085.9
"cerb";0.384;1092.2;921.9;1164.1;1031.3;1078.1;1117.2
"cerb";0.4;1071.6;914.1;1125;1000;1054.7;1093.8
"cerb";0.384;1086.6;929.7;1140.6;1015.6;1070.3;1101.6
"cerb";0.4;1069.3;914.1;1117.2;1000;1046.9;1085.9
"cerb";0.416;1042.7;890.6;1101.6;984.4;1031.3;1070.3
"cerb";0.416;1023.9;882.8;1085.9;984.4;1023.4;1062.5
"duba";0.52;958;835.9;1898.4;929.7;976.6;1609.4
"duba";0.52;954.8;828.1;1898.4;929.7;968.8;1429.7
"duba";0.528;957;820.3;1875;921.9;968.8;1265.6
"duba";0.536;959.3;828.1;1898.4;929.7;976.6;1578.1
"duba";0.488;954.2;828.1;1890.6;921.9;960.9;1304.7
"duba";0.56;986.3;851.6;1890.6;937.5;992.2;1210.9
"duba";0.52;964;835.9;1906.3;929.7;976.6;1648.4
"duba";0.568;948.2;828.1;1906.3;929.7;976.6;1656.3
"duba";0.472;953.7;820.3;1023.4;906.3;953.1;1000
"duba";0.48;963.5;835.9;1875;929.7;968.8;1117.2
"kneb";0.544;932.5;804.7;1875;914.1;1015.6;1164.1
"kneb";0.64;900.2;484.4;1851.6;890.6;992.2;1343.8
"kneb";0.536;1085.4;765.6;1851.6;906.3;1031.3;1242.2
"kneb";0.648;871.2;500;1851.6;882.8;984.4;1343.8
"kneb";0.568;906.7;757.8;1851.6;890.6;992.2;1226.6
"kneb";0.552;890.8;718.8;1835.9;867.2;992.2;1523.4
"kneb";0.552;926;765.6;1882.8;906.3;1031.3;1320.3
"kneb";0.656;803.5;523.4;1703.1;789.1;968.8;1257.8
"kneb";0.528;877.2;726.6;1796.9;851.6;937.5;1179.7
"kneb";0.56;907.4;523.4;1843.8;875;960.9;1132.8
"pala";0.496;1541.2;593.8;1867.2;945.3;1367.2;1570.3
"pala";0.456;834.8;562.5;1820.3;835.9;1109.4;1554.7
"pala";0.48;1663.6;601.6;1859.4;984.4;1398.4;1593.8
"pala";0.464;845.1;593.8;1859.4;953.1;1312.5;1578.1
"pala";0.472;1619.5;609.4;1859.4;992.2;1390.6;1578.1
"pala";0.56;844.7;601.6;1851.6;890.6;1234.4;1531.3
"pala";0.512;1620.4;531.3;1859.4;968.8;1351.6;1585.9
"pala";0.528;1493.6;507.8;1867.2;960.9;1328.1;1546.9
"pala";0.496;1623.3;593.8;1867.2;937.5;1375;1585.9
"pala";0.512;1625.9;617.2;1835.9;898.4;1281.3;1546.9
"susa";0.592;1047.9;750;1218.8;929.7;1023.4;1109.4
"susa";0.608;1056.5;804.7;1203.1;953.1;1039.1;1101.6
"susa";0.536;1124.6;812.5;1226.6;968.8;1062.5;1132.8
"susa";0.536;1069.1;710.9;1257.8;968.8;1062.5;1140.6
"susa";0.592;1045.3;804.7;1234.4;960.9;1046.9;1117.2
"susa";0.536;1046.9;851.6;1210.9;976.6;1039.1;1078.1
"susa";0.584;1055.6;765.6;1250;953.1;1046.9;1117.2
"susa";0.56;1048.4;828.1;1210.9;968.8;1054.7;1125
"susa";0.536;1102;812.5;1218.8;968.8;1054.7;1117.2
"susa";0.552;1102.3;820.3;1250;976.6;1062.5;1132.8
"vysa";0.688;1188.2;960.9;1429.7;1109.4;1179.7;1226.6
"vysa";0.648;1173.5;1000;1273.4;1101.6;1171.9;1218.8
"vysa";0.656;1231.4;1000;1281.3;1117.2;1179.7;1234.4
"vysa";0.712;1226.3;992.2;1375;1101.6;1195.3;1250
"vysa";0.672;1295;1101.6;1375;1203.1;1273.4;1312.5
"vysa";0.664;1227.3;1007.8;1273.4;1117.2;1195.3;1242.2
"vysa";0.84;1068;984.4;1125;1031.3;1070.3;1093.8
"vysa";0.712;1288.3;968.8;1570.3;1179.7;1242.2;1304.7
"vysa";0.656;1190.3;1046.9;1281.3;1117.2;1187.5;1226.6
"vysa";0.656;1159.7;976.6;1296.9;1109.4;1171.9;1226.6
