"id";"f1";"f3";"f5";"f7";"f9";"f11";"f13";"f15";"f17";"f19";"dur"
"220b";882.3;973.2;989.7;982.4;982.2;981.7;982;981.7;985.9;976.2;0.488
"220b";871.7;890.7;906.1;915;922;921;929.3;938.6;944.9;972.7;0.512
"229c";660.1;796.5;828;863.6;882.5;904.3;923;937;946.9;955.3;0.56
"229c";530.6;686.7;814.1;845.5;864.7;875;897.2;912.2;929;958.6;0.592
"229c";687.9;780.7;822;837.8;853.4;879.6;895.5;909.8;928.8;973.9;0.536
"229c";953.5;596.7;682.8;726.4;761.6;775.8;800.8;818;855.2;898.6;0.712
"229c";539.1;788.1;834;864.9;873.2;887.1;902.2;908;911.7;937.7;0.6
"229c";531.6;769.6;837.4;871.6;882.8;896.5;910.4;926.9;936;952.4;0.616
"229c";1079.8;744.1;788.7;824.2;841.8;865.9;889.2;902;929.2;970.3;0.6
"229c";536;710.6;769.7;797.9;822.3;845.2;866;894.2;922.7;959.2;0.624
"229c";629.3;812.9;856.4;883.3;902.5;915.8;931.7;941.9;951.3;963.2;0.576
"229c";541.4;769.5;819.7;848.9;872.5;892.4;909.1;924.8;933.6;946.8;0.624
"236a";886.9;940;1074.2;1076.2;1085.2;1093.5;1108.8;1121.7;1133.8;1158.8;0.664
"236a";894.6;1056.5;1073.1;1096.5;1106.9;1134.3;1146.6;1159.6;1173.9;1179.2;0.624
"236a";781.2;867.6;904.7;920.7;1090.8;1108;1115.5;1137.1;1150.1;1094.4;0.784
"236a";1056.5;1091.9;1113.1;1117.7;1123.3;1133.2;1145.5;1152.5;1170.6;1182.8;0.592
"236a";844.6;1078.9;1096.9;1105.2;1120.4;1126.2;1138.8;1149.9;1167.5;1178.6;0.72
"236a";1098.4;1117.4;1119.2;1123.8;1129.6;1137.1;1144.5;1165.1;1170.9;1178.7;0.608
"236a";941.7;1107.6;1127.7;1128.2;1135.9;1145.8;1162.1;1171.1;921.3;913.9;0.568
"236a";847.4;939.1;1071.9;1085.1;1106.9;1130.6;1146.9;1164.4;1178.3;1188.9;0.688
"236a";918.8;944.1;1071.3;1069.5;1096.8;1103.8;1117.4;1125.3;1144.3;1164.3;0.696
"236a";936.8;1091.7;0;1125.7;1127.3;1140.5;1143.6;1158.8;1174.7;1186.1;0.6
"239a";624.5;811.8;839.6;846.3;854.7;863.6;877.1;877.8;901.8;939.6;0.616
"239a";812.8;863.5;881.6;891.7;900.4;908.3;906.6;910.5;924.1;934.2;0.592
"239a";718;776.1;803.7;843.4;850.8;870.2;876.2;885.6;889.4;923;0.688
"239a";747.1;802.8;832.2;848.5;864;869;875.6;886.9;891;911.5;0.672
"239a";771.4;807.5;827.3;859;869.6;879.7;881.4;896;914.7;926.4;0.6
"239a";791.4;833.4;858.5;873.9;882.8;888.9;894.2;900;908.2;921.5;0.576
"239a";754.3;822.1;862.4;865.2;876.4;879.2;891.2;892.1;905.9;909.6;0.664
"239a";799.4;821;868.4;889.4;902.3;910.3;910.7;907;910.5;641.2;0.6
"239a";794.8;842.6;876.1;888.8;896.2;900.4;906.5;899.4;906.2;928.2;0.584
"239a";778.7;839.1;862;873.2;878;888.6;897.5;900.3;897.4;915.8;0.624
"243a";764.7;926;982.3;991.6;979.5;970;962.9;945.6;947.1;959.1;0.464
"243a";784;913.9;972.6;986.2;993.9;969.9;943.7;936;939.7;953.6;0.456
"243a";812.6;932.3;986.9;1018.5;994.7;967.2;950.7;939.5;942.2;955.3;0.464
