"id";"dur";"lfreq";"hfreq";"bandw";"q1";"q3";"pf"
"id6";0.326;1059.9;3321.8;2261.9;1828.1;2953.1;2953.1
"id6";0.321;1022.1;3293.4;2271.3;1828.1;2718.8;2109.4
"id9";0.277;1031.1;3022.2;1991.1;1734.4;2578.1;2625
"id9";0.263;1169.1;3017;1847.9;1781.2;2531.2;2578.1
"id9";0.282;1068.5;3042.1;1973.6;1734.4;2484.4;1875
"id9";0.281;1093.7;3079.8;1986.1;1968.8;2625;2718.8
"id9";0.281;1093.7;3042.1;1948.4;1781.2;2531.2;2531.2
"id9";0.278;1068.5;3092.4;2023.9;1734.4;2484.4;1640.6
"id9";0.286;1043.4;3281;2237.6;1687.5;2484.4;1875
"id9";0.274;930.2;3218.1;2287.9;1828.1;2531.2;2531.2
"id9";0.284;1093.7;3268.4;2174.7;1781.2;2531.2;2484.4
"id9";0.282;1055.9;3268.4;2212.5;1828.1;2531.2;1828.1
"id4";0.284;1156;3193.9;2037.9;1546.9;2062.5;1546.9
"id4";0.28;1099.3;3186.6;2087.3;1546.9;2296.9;1593.8
"id4";0.283;1074.6;3161.9;2087.3;1500;1968.8;1546.9
"id4";0.279;1025.2;3199;2173.8;1500;2062.5;1546.9
"id4";0.269;1136.3;3285.4;2149.1;1687.5;2437.5;1453.1
"id4";0.287;1099.3;3161.9;2062.6;1546.9;2203.1;1921.9
"id4";0.282;1136.3;3174.3;2038;1593.8;2250;1921.9
"id4";0.282;1124;3199;2075;1593.8;2250;1921.9
"id4";0.296;1161;3223.7;2062.7;1593.8;2296.9;1546.9
"id4";0.294;1124;3137.2;2013.2;1593.8;2203.1;1921.9
"id3";0.343;945.6;3172.6;2227;1828.1;2531.2;2250
"id3";0.34;945.6;3234.9;2289.3;1828.1;2531.2;1968.8
"id3";0.341;933.1;3172.6;2239.5;1781.2;2625;2250
"id3";0.334;958;3197.5;2239.5;1828.1;2625;2859.4
"id1";0.303;1135.6;3355.8;2220.2;1781.2;2531.2;2156.2
"id1";0.319;1107.3;3259.7;2152.4;1875;2531.2;1968.8
"id20";0.294;1060.7;3065.6;2004.9;1921.9;2625;2765.6
"id20";0.302;944.2;3104.4;2160.2;1734.4;2390.6;2296.9
"id20";0.305;1047.7;3091.4;2043.7;1687.5;2625;2531.2
"id20";0.282;789;3026.8;2237.8;1875;2625;2625
"id20";0.29;1008.9;3052.6;2043.7;2015.6;2765.6;2718.8
"id20";0.294;1021.9;3091.4;2069.5;1593.8;2156.2;1968.8
"id20";0.292;1078.1;3208.9;2130.8;1781.2;2484.4;1781.2
"id20";0.292;1128.8;3272.4;2143.6;1781.2;2390.6;1828.1
"id20";0.294;1090.8;3196.2;2105.4;1828.1;2390.6;1968.8
"id20";0.298;1014.7;3221.6;2206.9;1828.1;2437.5;2015.6
"id10";0.333;1148.7;3013.3;1864.6;1828.1;2296.9;1921.9
"id11";0.302;1112.4;3246.7;2134.3;2203.1;2718.8;2390.6
"id11";0.304;1021.9;3220.8;2198.9;1921.9;2765.6;2765.6
"id11";0.309;1021.9;3233.7;2211.8;1828.1;2718.8;2531.2
"id11";0.335;1034.8;3298.4;2263.6;1781.2;2812.5;2390.6
"id11";0.33;1099.5;3194.9;2095.4;2250;2906.2;2531.2
"id11";0.332;1060.7;3311.3;2250.6;2062.5;2812.5;2765.6
"id11";0.324;1138.3;3388.9;2250.6;2296.9;2859.4;2625
"id11";0.325;1086.5;3233.7;2147.2;2015.6;2718.8;2625
"id11";0.34;1125.3;3194.9;2069.6;1921.9;2765.6;2718.8
"id11";0.331;1151.2;3207.9;2056.7;2062.5;2765.6;2718.8
"id16";0.316;1081.7;3305.2;2223.5;2062.5;2765.6;2765.6
"id16";0.331;1081.7;3257.1;2175.4;1687.5;2671.9;1312.5
"id16";0.327;1069.7;3233.1;2163.4;1875;2578.1;1968.8
"id16";0.338;1057.7;3185;2127.3;1781.2;2531.2;1968.8
"id16";0.324;1009.6;3305.2;2295.6;1875;2671.9;1921.9
"id17";0.322;994.7;3217.3;2222.6;2062.5;2859.4;3000
"id17";0.31;1006.9;3254.1;2247.2;2156.2;2859.4;2671.9
"id17";0.315;1019.2;3278.7;2259.5;2203.1;2859.4;2671.9
"id17";0.349;1104.5;3157.6;2053.1;1921.9;2484.4;2156.2
"id17";0.349;1143.5;3274.6;2131.1;1921.9;2484.4;1968.8
"id17";0.356;1052.5;3209.6;2157.1;1781.2;2437.5;2109.4
"id18";0.311;972.7;3071.7;2099;1921.9;2812.5;2765.6
"id18";0.321;952.2;3081.9;2129.7;1875;2765.6;2765.6
"id18";0.312;911.3;3112.6;2201.3;2015.6;2578.1;2062.5
"id18";0.319;1034.1;3163.8;2129.7;2062.5;2718.8;2109.4
"id18";0.316;901;3081.9;2180.9;1968.8;2484.4;2156.2
"id18";0.338;829.4;3204.8;2375.4;1734.4;2343.8;1781.2
"id18";0.32;901;3153.6;2252.6;2062.5;2859.4;2109.4
"id18";0.311;972.7;3184.3;2211.6;2015.6;2812.5;2109.4
"id18";0.321;921.5;3163.8;2242.3;2156.2;2859.4;2203.1
"id18";0.317;962.5;3174.1;2211.6;1968.8;2671.9;2437.5
"id10";0.311;1074.5;3166.4;2091.9;1875;2531.2;2531.2
"id10";0.323;969.9;3156.9;2187;1828.1;2625;2484.4
"id10";0.325;1017.4;3147.4;2130;1921.9;2671.9;2812.5
"id10";0.334;1131.5;3023.8;1892.3;1921.9;2578.1;2625
"id10";0.328;1026.9;3004.8;1977.9;1921.9;2578.1;2296.9
"id10";0.328;1046;3071.3;2025.3;1875;2578.1;2437.5
"id10";0.337;1093.5;3061.8;1968.3;1875;2531.2;2437.5
"id10";0.327;1026.9;3061.8;2034.9;1828.1;2625;2390.6
"id10";0.319;1017.4;2995.2;1977.8;1921.9;2625;2437.5
"id16";0.326;1036.7;3199.6;2162.9;1781.2;2765.6;2859.4
"id16";0.326;1036.7;3212.4;2175.7;1875;2765.6;2812.5
"id16";0.186;1002.1;3123.4;2121.3;1640.6;2812.5;2953.1
"id16";0.192;950;3175.5;2225.5;1546.9;2625;2578.1
"id16";0.209;976.1;3084.4;2108.3;1593.8;2671.9;2859.4
"id6";0.291;1016.1;3167.1;2151;1968.8;2812.5;2671.9
"id17";0.357;1171.7;3256;2084.3;1593.8;2484.4;1359.4
"id17";0.357;1196.3;3243.6;2047.3;1593.8;2531.2;1546.9
"id17";0.352;1184;3219;2035;1640.6;2296.9;1359.4
"id17";0.36;1110;3206.6;2096.6;1546.9;2484.4;1359.4
