filelist.i.;nindivs;minncalls;maxncalls;nvars;nPCAs;HS;DS;HM;MI;Hsest;DSest;it
42.csv;29;7;7;10;10;7.59292096;0.857142857;1.083686447;4.307433242;8.562311097;0.814238393;13
43.csv;35;17;17;10;10;0.251356051;0.065546218;0.027491632;1.443701016;0.304019876;0.056180862;13
44.csv;9;11;11;10;10;2.148650061;0.565656566;0.263843037;1.457169136;2.324868058;0.533437613;13
45.csv;37;10;10;10;10;8.32350579;0.9;1.130489731;4.764071829;9.257591478;0.869835122;13
46.csv;12;15;15;10;10;6.389435114;0.955555556;1.429645098;3.380370776;8.043280038;0.920106652;13
47.csv;25;6;6;10;10;3.226987579;0.44;0.472892891;2.846454904;3.298278833;0.424670873;13
48.csv;19;19;19;10;10;2.378314738;0.43767313;0.341573976;1.832611768;2.221031954;0.440871093;13
49.csv;37;5;5;10;10;3.080792721;0.313513514;0.428937925;3.355015234;2.79821075;0.33495091;13
5.csv;32;17;17;10;10;9.652194207;0.957720588;1.097570446;4.772986177;9.822397915;0.952496125;13
50.csv;19;20;20;10;10;6.758514116;0.892105263;0.787025045;3.701495479;7.672788306;0.878403385;13
6.csv;32;13;13;10;10;0.957262524;0.110576923;0.115554399;1.799593846;0.612889092;0.147399385;13
7.csv;16;13;13;10;10;5.354555076;0.774038462;9.80E-01;3.079143364;5.426618602;0.794902625;13
8.csv;5;7;7;10;10;1.830077069;0.657142857;0.337278209;1.263488586;3.06019682;0.533163186;13
9.csv;34;5;5;10;10;5.447094535;0.552941176;0.943560853;3.772379378;4.99591326;0.591851253;13
1.csv;36;18;18;10;10;0.27994838;0.061728395;0.032298593;1.461296678;0.289617854;0.059297465;14
10.csv;20;9;9;10;10;9.347935625;0.994444444;1.116808241;4.295872662;10.46391768;0.940053341;14
11.csv;15;5;5;10;10;2.231827864;0.32;0.308989009;2.221389662;1.755181881;0.379316225;14
12.csv;13;10;10;10;10;4.758154964;0.876923077;0.818512599;3.253278831;6.980726519;0.759511325;14
