id;i;o;parmean;Pvalue;PIC3;PIC4;Fvalue;PICbwtotal;PICbwmeans;HSngroups;HSntot;HSnpergroup;HSvarcomp
0.01;5;12;995.6251776;0.565385167;0.247785729;0.98568992;0.745222689;1.002049918;0.251898356;-0.037726151;-0.003069571;-0.015480169;0
0.01;5;12;999.2961001;0.811360404;0.182826679;0.98682916;0.394990901;1.003208067;0.185861147;-0.093033958;-0.007310617;-0.037317317;0
0.01;5;12;992.5345421;0.416339437;0.28760195;0.997022439;0.998408253;1.01357053;0.292375426;-0.000229677;-1.91E-05;-9.57E-05;5.07E-13
0.01;5;12;1020.291783;0.69564965;0.216124978;0.989025562;0.555770342;1.005440924;0.219712115;-0.067116536;-0.005360602;-0.027210484;0
0.01;5;12;1007.460154;0.371859186;0.303219762;1.010303754;1.087315632;1.027072281;0.308252455;0.012488256;0.001048985;0.005229739;0.010459479
0.01;5;12;1009.7994;0.290437164;0.326917799;1.01174791;1.276367484;1.028540406;0.33234382;0.038808476;0.003314988;0.016424666;0.032849358
0.01;5;12;998.4418207;0.577895221;0.251302044;1.012065246;0.726134119;1.028863009;0.255473032;-0.040633762;-0.003300078;-0.016653471;0
0.01;5;16;1001.653494;0.348926201;0.26484011;0.999867735;1.129926155;1.012327146;0.268140299;0.018504982;0.001170574;0.005833964;0.011667913
0.01;5;16;1000.343517;0.675780357;0.191058189;0.990151773;0.583154149;1.002490113;0.193438976;-0.062793642;-0.00376846;-0.019042315;0
0.01;5;16;986.9775943;0.502697121;0.227803804;0.988843903;0.842376947;1.001165946;0.230642481;-0.023106353;-0.001422664;-0.007141548;0
0.01;5;16;1012.325595;0.284286623;0.284447482;1.011663553;1.283013246;1.024269952;0.287991999;0.039716466;0.002547383;0.012647898;0.025295796
0.01;5;16;1006.811609;0.601269877;0.207161099;0.989831489;0.689825304;1.002165838;0.209742546;-0.046196956;-0.002802233;-0.014121308;0
0.01;5;16;1017.31913;0.266608542;0.286687312;1.002577453;1.330150971;1.01507063;0.29025974;0.046124151;0.002970794;0.014733112;0.029466201
0.01;5;16;1003.387628;0.114493897;0.346197084;1.020445219;1.928106748;1.033161048;0.350511066;0.122821666;0.008320423;0.040674363;0.081348723
0.01;5;16;990.391264;0.137021169;0.337200261;1.0245667;1.803581277;1.037333886;0.341402133;0.10750767;0.007209618;0.035348418;0.070696837
0.01;5;16;1007.579691;0.493525911;0.230622224;0.992585785;0.857514842;1.004954455;0.233496022;-0.020854845;-0.001285912;-0.006452606;3.20E-16
0.01;5;16;992.3931968;0.674887367;0.190148959;0.984416712;0.584404609;0.996683586;0.192518416;-0.062596858;-0.003757126;-0.018984433;2.24E-15
0.01;5;16;984.8412082;0.40969125;0.250909358;1.000619381;1.006365725;1.013088159;0.254035954;0.000917796;5.74E-05;0.000286937;0.000573873
0.01;5;16;1008.724812;0.18058652;0.317084557;1.014919365;1.609967331;1.027566336;0.321035767;0.083032137;0.005479119;0.026988665;0.053977302
0.01;5;16;1004.929092;0.308757985;0.279047356;1.015445292;1.22183816;1.028098816;0.282524582;0.031314825;0.001997512;0.009932701;0.019865418
0.01;5;16;992.7405038;0.962082603;0.096656284;0.973935575;0.150811013;0.986071844;0.097860724;-0.134267424;-0.007697934;-0.039338441;0
0.01;5;16;982.4260035;0.693172037;0.189218925;1.001046997;0.558895381;1.013521103;0.191576793;-0.066621896;-0.003988377;-0.020166133;0
0.01;5;16;996.2793151;0.353571614;0.26242839;0.994944338;1.11988191;1.007342399;0.265698525;0.01709122;0.001080147;0.005384635;0.010769272
0.01;5;16;1000.288203;0.167950684;0.322683255;1.018082418;1.661143715;1.030768803;0.32670423;0.089582727;0.005936931;0.029207767;0.058415536
